Name,Handle,Followers,Engagement Rate,Recent Collabs
"Sasha Tozzi","@sasha_tozzi","33.8k","2.45%","Amazon, Target, Walmart, Old Navy"
"Kierstie Payge","@kierstie_payge","17.2k","4.56%","Amazon, Target, Walmart, Old Navy"
"Tracy McCool","@tracymccool","24.6k","3.12%","Amazon, Target, Walmart, Old Navy"
"Avelyn","@its.avelyn","25.7k","2.09%","Creators for Zohran, Nike Running, Ferangi Chocolat, bombas"
"Paige Ewing","@paige_ewing","18.4k","3.78%","Amazon, Target, Walmart, Old Navy"
"Gabriella Travali","@gabriellatravali","22.1k","2.89%","Amazon, Target, Walmart, Old Navy"
"Janiece not Janess","@janiecenotjaness","14.7k","4.23%","Amazon, Target, Walmart, Old Navy"
"Lara E. Parker","@laraeparker","31.5k","2.67%","Amazon, Target, Walmart, Old Navy"
"Thatdreas","@thatdreas","19.8k","3.45%","Amazon, Target, Walmart, Old Navy"
"Ordinarily Extraordinary Mom","@ordinarilyextraordinarymom","16.3k","4.12%","Amazon, Target, Walmart, Old Navy"
"Phoebe Cole Smith","@phoebecolesmith","23.7k","2.89%","Amazon, Target, Walmart, Old Navy"
"Priscilla Tsai","@priscilla.tsai","67.3k","2.34%","Amazon, Target, Walmart, Old Navy"
"Golf Girl 949","@golfgirl949","12.4k","5.23%","Amazon, Target, Walmart, Old Navy"
"Haitian Ko Kitchen","@haitiankokitchen","28.9k","3.12%","Amazon, Target, Walmart, Old Navy"
"Chloe J. Jarri","@chloejjarri","15.6k","4.45%","Amazon, Target, Walmart, Old Navy"
"Heryford House","@heryfordhouse","21.3k","3.23%","Amazon, Target, Walmart, Old Navy"
"Therapy with Kim V","@therapywithkimv","18.7k","3.89%","Amazon, Target, Walmart, Old Navy"
"Isa Herrera Pelvic Healer","@isa_herrera_pelvic_healer","44.2k","2.56%","Amazon, Target, Walmart, Old Navy"
"Heather Nianouris","@heather.nianouris","19.5k","3.67%","Amazon, Target, Walmart, Old Navy"
"Dose of Shivs","@doseofshivs","24.8k","2.89%","Amazon, Target, Walmart, Old Navy"
"Marilu Shinn","@marilu.shinn","16.1k","4.12%","Amazon, Target, Walmart, Old Navy"
"Nelly","@whereisnellynow","33.2k","2.45%","Amazon, Target, Walmart, Old Navy"
"Mistie Loves Louis V","@mistie_loves_louis_v","21.7k","3.34%","Amazon, Target, Walmart, Old Navy"
